2021-10-19 16:26:54.643  INFO 20280 --- [http-nio-8081-exec-10] c.s.a.p.PagingAndSortingArgumentResolver : PagingAndSortingArgumentResolver | resolveArgument | moduleURL : /orders
2021-10-19 16:26:54.655  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.controller.OrderController     : OrderController | listByPage is called
2021-10-19 16:26:54.677  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes is started
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | startCount : 1
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | endCount : 10
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | page.getTotalElements() : 1
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | endCount : 1
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | currentPage : 1
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | totalPages : 1
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | totalItems : 1
2021-10-19 16:26:54.678  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.paging.PagingAndSortingHelper  : PagingAndSortingArgumentResolver | updateModelAttributes | listName : [Order [id=9, subtotal=731.5, paymentMethod=COD, status=PROCESSING, customer=Anh Le Hoang]]
2021-10-19 16:26:54.679  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting is called
2021-10-19 16:26:54.682  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting | currencySettings : [Setting [key=CURRENCY_ID, value=1], Setting [key=CURRENCY_SYMBOL, value=$], Setting [key=CURRENCY_SYMBOL_POSITION, value=Before price], Setting [key=DECIMAL_DIGITS, value=2], Setting [key=DECIMAL_POINT_TYPE, value=POINT], Setting [key=THOUSANDS_POINT_TYPE, value=COMMA]]
2021-10-19 16:26:54.682  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting | setting | key : CURRENCY_ID , value : 1
2021-10-19 16:26:54.682  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting | setting | key : CURRENCY_SYMBOL , value : $
2021-10-19 16:26:54.682  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting | setting | key : CURRENCY_SYMBOL_POSITION , value : Before price
2021-10-19 16:26:54.682  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting | setting | key : DECIMAL_DIGITS , value : 2
2021-10-19 16:26:54.683  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting | setting | key : DECIMAL_POINT_TYPE , value : POINT
2021-10-19 16:26:54.683  INFO 20280 --- [http-nio-8081-exec-10] com.shopme.admin.util.OrderUtil          : OrderUtil | loadCurrencySetting | setting | key : THOUSANDS_POINT_TYPE , value : COMMA
2021-10-19 16:26:54.683  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.controller.OrderController     : OrderController | listByPage | loggedUser : ShopmeUserDetails [user=User(email=ya@a.com, password=$2a$10$Wn8xOUf9VgaapocpWj/qnezjM5k6o7pSraRmkWlCteES/Km8WC0Hi, firstName=Yöntem, lastName=Algınoğlu, photos=Ammanolla.png, enabled=true, roles=[Admin])]
2021-10-19 16:26:56.537  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.controller.OrderController     : OrderController | editOrder is called
2021-10-19 16:26:56.554  INFO 20280 --- [http-nio-8081-exec-10] c.s.admin.controller.OrderController     : OrderController | editOrder | order : Order [id=9, subtotal=731.5, paymentMethod=COD, status=PROCESSING, customer=Anh Le Hoang]
